ID,상품제목,가격,할인율,리뷰평점,리뷰개수,썸네일
1,"[4만7천장돌파🙏기본자켓의가치!]주인공 시크블랙JK (어깨패드,싱글,모던,클래식)","29,900원",,4.4,"6,167",https://cf.product-image.s.zigzag.kr/original/c/10/042/523/100425236-3633297395446861567.gif?width=400&height=400&quality=80&format=jpeg
2,(DEJOU!) 프리미엄-블레이저JK-베이직핏 (2colors!),"33,500원",,4.3,"5,296",https://cf.product-image.s.zigzag.kr/original/d/2023/5/22/207_202305221655430547_66783.gif?width=400&height=400&quality=80&format=jpeg
3,[6만장돌파] [my favorite] 페이보릿 클래식 (jk)* 베스트 상품 재진행블랙-M/ 애쉬베이지/ 차콜-S 단독주문시 당일발송,"64,500원",7%,4.7,"4,970",https://cf.product-image.s.zigzag.kr/original/c/10/046/821/100468216-4732839681580362252.gif?width=400&height=400&quality=80&format=jpeg
4,[가을🍂자켓 13만장 돌파][Made Lauren]클래식 싱글 미디 자켓,"43,900원",24%,4.6,"4,438",https://cf.product-image.s.zigzag.kr/original/c/10/011/949/100119491-4852608111348415621.gif?width=400&height=400&quality=80&format=jpeg
5,(DEJOU!) 프리미엄-블레이저JK-루즈핏,"35,500원",,4.5,"3,839",https://cf.product-image.s.zigzag.kr/original/d/2023/5/22/207_202305221657430661_33847.gif?width=400&height=400&quality=80&format=jpeg
6,[98project/2만장돌파] 뮤즈 심플 라이더 자켓 - 3 color,"59,500원",10%,4.7,"3,047",https://cf.product-image.s.zigzag.kr/original/c/10/055/890/100558905-3202268652196709952.gif?width=400&height=400&quality=80&format=jpeg
7,[4만장판매/MADE] 오브 베이직 미디 자켓 - 3 color,"53,000원",33%,4.7,"2,683",https://cf.product-image.s.zigzag.kr/original/d/2023/8/29/4220_202308291057100210_99418.gif?width=400&height=400&quality=80&format=jpeg
8,빠른출발🚚[98project/1만장돌파] 메이 스탠다드 포멀 자켓 - 2 color,"59,500원",15%,4.7,"2,471",https://cf.product-image.s.zigzag.kr/original/c/10/011/735/100117350-4079292640266603353.gif?width=400&height=400&quality=80&format=jpeg
9,[가을🍂1만4천장 돌파][Made Lauren]델라 오버핏 싱글 미디 자켓 - 4 color,"62,900원",5%,4.7,"2,278",https://cf.product-image.s.zigzag.kr/original/c/10/816/916/108169163-1008052647638880175.gif?width=400&height=400&quality=80&format=jpeg
10,[오늘출발🚚] #SLOWMADE. 놈코어 미니멀 블루종자켓 - 4 color,"55,000원",10%,4.7,"2,272",https://cf.product-image.s.zigzag.kr/original/c/10/563/361/105633613-8232589459736615844.gif?width=400&height=400&quality=80&format=jpeg
11,[1만9천장 돌파][Made Lauren]프링 린넨 반팔 숏 자켓 - 4 color,"46,900원",6%,4.6,"2,147",https://cf.product-image.s.zigzag.kr/original/c/10/045/547/100455475-2581005739602041133.gif?width=400&height=400&quality=80&format=jpeg
12,"[5만장돌파,아우터1위❤️] [ordinaire] 위드 울 코트자켓 (4color/S-M) (울자켓 추천)","138,500원",15%,4.7,"1,960",https://cf.product-image.s.zigzag.kr/original/c/10/881/753/108817533-5577526268759326149.gif?width=400&height=400&quality=80&format=jpeg
13,[무료배송/6천장돌파] #SLOWMADE. 이너프 탄탄싱글 세미크롭자켓 - 3 color,"62,000원",5%,4.7,"1,839",https://cf.product-image.s.zigzag.kr/original/c/11/061/318/110613186-3310714787690189927.gif?width=400&height=400&quality=80&format=jpeg
14,[🏆누적판매2만장🏆][MADE] 제스티 테일러드더블자켓[44~110] (가을-베스트-직장인룩-데일리룩-체형커버-빅사이즈자켓-아우터-간절기룩-출근룩),"32,800원",,4.6,"1,638",https://cf.product-image.s.zigzag.kr/original/c/10/048/430/100484304-6360200019911745987.gif?width=400&height=400&quality=80&format=jpeg
15,[유투버PICK][누적1만장]라운드넥 숏 트위드 자켓 MIWJKD31PG,"76,420원",24%,4.8,"1,592",https://cf.product-image.s.zigzag.kr/original/d/2023/10/19/11864_202310191555130694_99499.gif?width=400&height=400&quality=80&format=jpeg
16,(DEJOU!) 프리미엄-블레이저JK-루즈핏 (차콜그레이),"35,500원",,4.5,"1,570",https://cf.product-image.s.zigzag.kr/original/d/2023/5/22/207_202305221658080742_67416.gif?width=400&height=400&quality=80&format=jpeg
17,[누적 2만장] 칼라리스 반팔 트위드 자켓 _  하객룩,"49,950원",50%,4.9,"1,567",https://cf.product-image.s.zigzag.kr/original/d/2023/6/15/12151_202306151655420375_49901.gif?width=400&height=400&quality=80&format=jpeg
18,매시즌 찾게되는 [MD추천/오버핏]코튼 야상 자켓,"35,900원",,4.6,"1,409",https://cf.product-image.s.zigzag.kr/original/d/2022/2/8/4600_202202081629090533_21213.gif?width=400&height=400&quality=80&format=jpeg
19,[evermore] 르메울코트JK (3color),"153,000원",,4.8,"1,381",https://cf.product-image.s.zigzag.kr/original/c/10/944/376/109443764-6964119752284237830.gif?width=400&height=400&quality=80&format=jpeg
20,[율리 PICK] 라운드 트위드 자켓(3colors)_RMJKD49R99_ 가을 하객룩 / 당일 배송,"90,620원",30%,4.8,"1,365",https://cf.product-image.s.zigzag.kr/original/d/2023/10/17/12151_202310171007110712_39689.gif?width=400&height=400&quality=80&format=jpeg
21,하객룩🖤 [ordinaire] 나이브 노카라자켓 (2color),"77,000원",,4.8,"1,329",https://cf.product-image.s.zigzag.kr/original/d/2023/3/14/3548_202303141538590905_53773.gif?width=400&height=400&quality=80&format=jpeg
22,[2만장판매🔥/delight made] 데일리 싱글 자켓/결혼식/하객룩/정장자켓/면접자켓/빅사이즈 하객룩/가을 자켓/가을하객룩/올드머니룩/빅사이즈 자켓/오버핏블레이저,"49,800원",,4.6,"1,299",https://cf.product-image.s.zigzag.kr/original/d/2023/3/26/5330_202303262132470150_49172.gif?width=400&height=400&quality=80&format=jpeg
23,[1만9천장 돌파][Made Lauren]오브 싱글 미디 반팔 자켓 - 6 color,"52,900원",4%,4.7,"1,264",https://cf.product-image.s.zigzag.kr/original/c/10/063/559/100635596-8040025144899890619.gif?width=400&height=400&quality=80&format=jpeg
24,[✨아우터위크+쿠폰팩]⚡️오늘출발⚡️ [3만장 돌파✨] 멜로샤 부클 트위드 트위드자켓 트위드 크롭 자켓 라운드 자켓 올드머니룩 가을자켓 노카라 자켓 가을하객 겨울재킷 겨울 트위드 핑크트위드 블랙 부클트위드자켓 겨울하객룩 하객룩자켓 노카라 블레이저 숏자켓 하객룩 자켓 jk2531,"38,000원",37%,4.6,"1,253",https://cf.product-image.s.zigzag.kr/original/c/11/858/112/118581128-1703954312906342687.gif?width=400&height=400&quality=80&format=jpeg
25,[MADE] 오브덴 더블포켓 수술 트위드자켓[44~100],"41,800원",5%,4.7,"1,229",https://cf.product-image.s.zigzag.kr/original/d/2023/10/11/216_202310111529240536_56196.gif?width=400&height=400&quality=80&format=jpeg
26,[MADE] 모드 오버핏싱글자켓[44~110],"43,800원",,4.6,"1,160",https://cf.product-image.s.zigzag.kr/original/c/10/038/364/100383642-1186948552759402269.gif?width=400&height=400&quality=80&format=jpeg
27,투웨이 레더 카라 크롭 자켓,"35,900원",,4.7,"1,153",https://cf.product-image.s.zigzag.kr/original/d/2022/1/27/4600_202201271411420984_86298.gif?width=400&height=400&quality=80&format=jpeg
28,인생자켓💕 주문폭주✨ (unusually) three jacket (4color) 자켓/블레이저/베이직자켓/오버핏/아우터/고퀄리티/핏예쁜자켓/세일/당일배송/오늘출발/당배,"59,000원",,4.5,"1,126",https://cf.product-image.s.zigzag.kr/original/d/2022/9/6/4598_202209061501390313_83255.gif?width=400&height=400&quality=80&format=jpeg
29,[7천장판매] [MADE] 롤리 SET - 크롭자켓,"57,600원",10%,4.8,"1,088",https://cf.product-image.s.zigzag.kr/original/c/10/043/727/100437270-6185209537606209307.gif?width=400&height=400&quality=80&format=jpeg
30,"[라스트특가][당일출고] 누적판매7천장💛[made by]  쿨링 썸머 자켓 (*5color) (s,m)","18,000원",70%,4.6,"1,081",https://cf.product-image.s.zigzag.kr/original/c/10/620/984/106209844-6922131788998824662.gif?width=400&height=400&quality=80&format=jpeg
